
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		1,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		1,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		1,		-1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		1,		-1	// Sellvalue -1 means it can not be selled
		WomanSuit_Black,		*,		18,		4
		WomanSuit_Khaki,		*,		18,		4
		WoolCoat_Red,			*,		18,		4
		WoolCoat_RedCheck,		*,		18,		4
		WoolCoat_Blue,			*,		18,		4
		WoolCoat_BlueCheck,		*,		18,		4
		WoolCoat_GreyCheck,		*,		18,		4
		WoolCoat_BrownCheck,	*,		18,		4
		WoolCoat_Beige,			*,		18,		4
		WoolCoat_Black,			*,		19,		4
		WoolCoat_BlackCheck,	*,		19,		4
		WoolCoat_Green,			*,		20,		5
		RidersJacket_Black,		*,		20,		5
		FirefighterJacket_Beige,*,		24,		6
		FirefighterJacket_Black,*,		24,		6
		JumpsuitJacket_Red,		*,		26,		6
		JumpsuitJacket_Blue,	*,		26,		6
		JumpsuitJacket_Gray,	*,		26,		6
		JumpsuitJacket_Green,	*,		26,		6
		BomberJacket_Maroon,	*,		26,		6
		BomberJacket_SkyBlue,	*,		26,		6
		BomberJacket_Blue,		*,		26,		6
		BomberJacket_Grey,		*,		26,		6
		BomberJacket_Brown,		*,		26,		6
		BomberJacket_Black,		*,		28,		7
		BomberJacket_Olive,		*,		30,		7
		QuiltedJacket_Orange,	*,		26,		6
		QuiltedJacket_Yellow,	*,		26,		6
		QuiltedJacket_Red,		*,		26,		6
		QuiltedJacket_Violet,	*,		26,		6
		QuiltedJacket_Blue,		*,		26,		6
		QuiltedJacket_Grey,		*,		26,		6
		QuiltedJacket_Black,	*,		28,		7
		QuiltedJacket_Green,	*,		30,		7
		PrisonUniformJacket,	*,		28,		7
		PoliceJacketOrel,		*,		32,		8
		PoliceJacket,			*,		34,		8
		ParamedicJacket_Crimson,*,		36,		9
		ParamedicJacket_Blue,	*,		36,		9
		ParamedicJacket_Green,	*,		36,		9
		HikingJacket_Red,		*,		36,		9
		HikingJacket_Blue,		*,		38,		9
		HikingJacket_Black,		*,		38,		9
		HikingJacket_Green,		*,		40,		10
		Raincoat_Pink,			*,		70,		15
		Raincoat_Orange,		*,		70,		15
		Raincoat_Yellow,		*,		70,		15
		Raincoat_Red,			*,		70,		15
		Raincoat_Blue,			*,		70,		15
		Raincoat_Black,			*,		80,		20
		Raincoat_Green,			*,		100,	25
		TTsKOJacket_Camo,		*,		100,	25
		BDUJacket,				*,		100,	25
		HuntingJacket_Winter,	*,		120,	35
		HuntingJacket_Brown,	*,		120,	35
		HuntingJacket_Autumn,	*,		120,	35
		HuntingJacket_Spring,	*,		120,	35
		HuntingJacket_Summer,	*,		120,	35
		M65Jacket_Tan,			*,		130,	40
		M65Jacket_Black,		*,		130,	40
		M65Jacket_Khaki,		*,		130,	40
		M65Jacket_Olive,		*,		130,	40
		GorkaEJacket_Autumn,	*,		140,	45
		GorkaEJacket_Flat,		*,		140,	45
		GorkaEJacket_PautRev,	*,		140,	45
		GorkaEJacket_Summer,	*,		140,	45
		USMCJacket_Desert,		*,		140,	45
		USMCJacket_Woodland,	*,		155,	55
		NBCJacketGray,			*,		250,	80

	<Category> Skirts & Dresses
		Skirt_Yellow,			*,		30,		10
		Skirt_Red,				*,		30,		10
		Skirt_Blue,				*,		30,		10
		Skirt_White,			*,		30,		10
		MiniDress_Pink,			*,		35,		10
		MiniDress_PinkChecker,	*,		35,		10
		MiniDress_RedChecker,	*,		35,		10
		MiniDress_BlueChecker,	*,		35,		10
		MiniDress_BlueWithDots,	*,		35,		10
		MiniDress_WhiteChecker,	*,		35,		10
		MiniDress_BrownChecker,	*,		35,		10
		MiniDress_GreenChecker,	*,		35,		10
		NurseDress_Blue,		*,		40,		10
		NurseDress_White,		*,		40,		10

	<Category> Pants
		MedicalScrubsPants_Blue,*,		10,		2
		MedicalScrubsPants_White,*,		10,		2
		MedicalScrubsPants_Green,*,		10,		2
		TrackSuitPants_Red,		*,		15,		3
		TrackSuitPants_LightBlue,*,		15,		3
		TrackSuitPants_Blue,	*,		15,		3
		TrackSuitPants_Black,	*,		15,		3
		TrackSuitPants_Green,	*,		15,		3
		PrisonUniformPants,		*,		17,		4
		Breeches_Pink,			*,		20,		5
		Breeches_Red,			*,		20,		5
		Breeches_Blue,			*,		20,		5
		Breeches_White,			*,		20,		5
		Breeches_Beetcheck,		*,		20,		5
		Breeches_Beige,			*,		21,		5
		Breeches_Browncheck,	*,		21,		5
		Breeches_Black,			*,		22,		5
		Breeches_Blackcheck,	*,		22,		5
		Breeches_Green,			*,		24,		6
		SlacksPants_Blue,		*,		20,		5
		SlacksPants_White,		*,		20,		5
		SlacksPants_LightGrey,	*,		20,		5
		SlacksPants_DarkGrey,	*,		20,		5
		SlacksPants_Beige,		*,		20,		5
		SlacksPants_Brown,		*,		21,		5
		SlacksPants_Black,		*,		22,		5
		SlacksPants_Khaki,		*,		24,		6
		CanvasPantsMidi_Red,	*,		24,		6
		CanvasPantsMidi_Violet,	*,		24,		6
		CanvasPantsMidi_Blue,	*,		24,		6
		CanvasPantsMidi_Grey,	*,		24,		6
		CanvasPantsMidi_Beige,	*,		25,		6	
		CanvasPants_Red,		*,		26,		6
		CanvasPants_Violet,		*,		26,		6
		CanvasPants_Blue,		*,		26,		6
		CanvasPants_Grey,		*,		26,		6
		CanvasPants_Beige,		*,		28,		6
		JumpsuitPants_Red,		*,		28,		6
		JumpsuitPants_Blue,		*,		28,		6
		JumpsuitPants_Grey,		*,		28,		6
		JumpsuitPants_Green,	*,		28,		6
		PolicePants,			*,		28,		6
		ParamedicPants_Crimson,	*,		35,		8
		ParamedicPants_Blue,	*,		35,		8
		ParamedicPants_Green,	*,		35,		8
		FirefightersPants_Beige,*,		35,		8
		FirefightersPants_Black,*,		35,		8
		CargoPants_Blue,		*,		35,		8
		CargoPants_Grey,		*,		35,		8
		CargoPants_Beige,		*,		35,		8
		CargoPants_Black,		*,		35,		8
		CargoPants_Green,		*,		35,		8
		ShortJeans_Red,			*,		38,		8
		ShortJeans_Blue,		*,		38,		8
		ShortJeans_Darkblue,	*,		38,		8
		ShortJeans_Brown,		*,		38,		8
		ShortJeans_Black,		*,		40,		10
		ShortJeans_Green,		*,		42,		10
		Jeans_Blue,				*,		40,		10
		Jeans_BlueDark,			*,		40,		10
		Jeans_Grey,				*,		40,		10
		Jeans_Brown,			*,		40,		10
		Jeans_Black,			*,		42,		10
		Jeans_Green,			*,		45,		12	
		TTSKOPants,				*,		55,		15
		BDUPants,				*,		65,		18
		USMCPants_Desert,		*,		65,		18
		USMCPants_Woodland,		*,		70,		20
		PolicePantsOrel,		*,		70,		20
		HunterPants_Winter,		*,		90,		25
		HunterPants_Brown,		*,		100,	30
		HunterPants_Spring,		*,		100,	30
		HunterPants_Autumn,		*,		100,	30
		HunterPants_Summer,		*,		100,	30
		GorkaPants_Flat,		*,		130,	40
		GorkaPants_PautRev,		*,		130,	40
		GorkaPants_Autumn,		*,		130,	40
		GorkaPants_Summer,		*,		130,	40
		NBCPantsGray,			*,		200,	65
	
	<Category> Shoes & Boots
		AthleticShoes_Blue,		*,		17,		4
		AthleticShoes_Grey,		*,		20,		5
		AthleticShoes_Brown,	*,		20,		5
		AthleticShoes_Black,	*,		23,		5
		AthleticShoes_Green,	*,		23,		5
		JoggingShoes_Violet,	*,		30,		7
		JoggingShoes_Red,		*,		30,		7
		JoggingShoes_Blue,		*,		30,		7
		JoggingShoes_White,		*,		30,		7
		JoggingShoes_Black,		*,		30,		7
		Sneakers_Red,			*,		30,		7
		Sneakers_White,			*,		30,		7
		Sneakers_Gray,			*,		30,		7
		Sneakers_Black,			*,		31,		7
		Sneakers_Green,			*,		32,		7
		DressShoes_White,		*,		32,		7
		DressShoes_Brown,		*,		35,		8
		DressShoes_Black,		*,		35,		8
		DressShoes_Beige,		*,		35,		8
		DressShoes_Sunburst,	*,		35,		8
		HikingBootsLow_Blue,	*,		45,		12
		HikingBootsLow_Grey,	*,		45,		12
		HikingBootsLow_Beige,	*,		48,		13
		HikingBootsLow_Black,	*,		50,		14
		WorkingBoots_Yellow,	*,		55,		12
		WorkingBoots_Grey,		*,		60,		15
		WorkingBoots_Beige,		*,		60,		15
		WorkingBoots_Brown,		*,		60,		15
		WorkingBoots_Green,		*,		65,		17
		HikingBoots_Brown,		*,		75,		20
		HikingBoots_Black,		*,		75,		20
		CombatBoots_Grey,		*,		80,		22
		CombatBoots_Beige,		*,		80,		22
		CombatBoots_Brown,		*,		80,		22
		CombatBoots_Black,		*,		80,		22
		CombatBoots_Green,		*,		80,		22
		JungleBoots_Beige,		*,		85,		24
		JungleBoots_Brown,		*,		85,		24
		JungleBoots_Black,		*,		85,		24
		JungleBoots_Olive,		*,		85,		24
		JungleBoots_Green,		*,		85,		24
		Wellies_Grey,			*,		85,		25
		Wellies_Brown,			*,		85,		25
		Wellies_Black,			*,		85,		25
		Wellies_Green,			*,		90,		28
		TTSKOBoots,				*,		100,	35
		MilitaryBoots_Redpunk,	*,		100,	35
		MilitaryBoots_Bluerock,	*,		105,	35
		MilitaryBoots_Beige,	*,		110,	35
		MilitaryBoots_Brown,	*,		110,	35
		MilitaryBoots_Black,	*,		110,	35
		NBCBootsGray,			*,		150,	50

	<Category> Ghillie
		// Keep in Mind that Players can also 
		// craft Ghillie Clothing and sell them!
		GhillieAtt_Mossy,		*,		220,	70
		GhillieAtt_Tan,			*,		220,	70
		GhillieAtt_Woodland,	*,		220,	70
		GhillieHood_Mossy,		*,		220,	70
		GhillieHood_Tan,		*,		220,	70
		GhillieHood_Woodland,	*,		220,	70
		GhillieBushrag_Mossy,	*,		200,	130
		GhillieBushrag_Tan,		*,		200,	130
		GhillieBushrag_Woodland,*,		200,	130
		GhillieTop_Mossy,		*,		300,	200
		GhillieTop_Tan,			*,		300,	200
		GhillieTop_Woodland,	*,		300,	200
		GhillieSuit_Mossy,		*,		400,	300
		GhillieSuit_Tan,		*,		400,	300
		GhillieSuit_Woodland,	*,		400,	300
		
	//<Category> Seasonal
		//SantasBeard,			*,		15,		0
		//SantasHat,			*,		35,		0
		//PumpkinHelmet,		*,		50,		0

	<Category> Holster & Pouches
		ChestHolster,			*,		60,		50
		PlateCarrierHolster,	*,		60,		50
		PlateCarrierPouches,	*,		70,		60
		
	<Category> Belt
		CivilianBelt,			*,		100,	30
		MilitaryBelt,			*,		100,	30
		
	<Category> Bags
		ChildBag_Red,			*,		25,		20
		ChildBag_Blue,			*,		25,		20
		ChildBag_Green,			*,		25,		20
		DryBag_Yellow,			*,		35,		30
		DryBag_Orange,			*,		35,		30
		DryBag_Red,				*,		35,		30
		DryBag_Blue,			*,		35,		30
		DryBag_Black,			*,		35,		30
		DryBag_Green,			*,		35,		30
		TaloonBag_Orange,		*,		50,		40
		TaloonBag_Violet,		*,		50,		40
		TaloonBag_Blue,			*,		50,		40
		TaloonBag_Green,		*,		70,		20
		SmershBag,				*,		100,	90
		WaterproofBag_Yellow,	*,		100,	90
		WaterproofBag_Orange,	*,		100,	90
		WaterproofBag_Green,	*,		100,	90
		AssaultBag_Black,		*,		100,	90
		AssaultBag_Green,		*,		100,	90
		AssaultBag_Ttsko,		*,		100,	90
		HuntingBag,				*,		100,	90
		TortillaBag,			*,		100,	90
		CoyoteBag_Brown,		*,		100,	90
		CoyoteBag_Green,		*,		100,	90
		MountainBag_Orange,		*,		100,	90
		MountainBag_Red,		*,		100,	90
		MountainBag_Blue,		*,		100,	90
		MountainBag_Green,		*,		100,	90
		AliceBag_Black,			*,		100,	50
		AliceBag_Green,			*,		100,	50
		AliceBag_Camo,			*,		100,	50

	//<Category> Handmade
		//LeatherGloves_Beige,	*,		0,		0
		//LeatherGloves_Black,	*,		0,		0
		//LeatherGloves_Brown,	*,		0,		0
		//LeatherGloves_Natural,*,		0,		0
		//LeatherHat_Beige,		*,		0,		0
		//LeatherHat_Black,		*,		0,		0
		//LeatherHat_Brown,		*,		0,		0
		//LeatherHat_Natural,	*,		0,		0
		//LeatherShirt_Natural,	*,		0,		0
		//LeatherStorageVest_Beige,*,	0,		0
		//LeatherStorageVest_Black,*,	0,		0
		//LeatherStorageVest_Brown,*,	0,		0
		//LeatherStorageVest_Natural,*,	0,		0
		//LeatherJacket_Beige,	*,		0,		0
		//LeatherJacket_Black,	*,		0,		0
		//LeatherJacket_Brown,	*,		0,		0
		//LeatherJacket_Natural,*,		0,		0
		//LeatherPants_Beige,	*,		0,		0
		//LeatherPants_Black,	*,		0,		0
		//LeatherPants_Brown,	*,		0,		0
		//LeatherPants_Natural,	*,		0,		0
		//LeatherShoes_Beige,	*,		0,		0
		//LeatherShoes_Black,	*,		0,		0
		//LeatherShoes_Brown,	*,		0,		0
		//LeatherShoes_Natural,	*,		0,		0
		//CourierBag,			*,		0,		0
		//FurCourierBag,		*,		0,		0
		//FurImprovisedBag,		*,		0,		0
		//ImprovisedBag,		*,		0,		0
		//LeatherSack_Beige,	*,		0,		0
		//LeatherSack_Black,	*,		0,		0
		//LeatherSack_Brown,	*,		0,		0
		//LeatherSack_Natural,	*,		0,		0
	

<Trader> Vehicles Trader
	<Category> Vehicles
		OffroadHatchback,		V,		2000,	1000	// Use VNK instead of V as Quantity to not give a Vehicle Key when bought.
		OffroadHatchback_Blue,	V,		2000,	1000
		OffroadHatchback_White,	V,		2000,	1000
		Hatchback_02,			V,		2000,	1000
		Hatchback_02_Blue,		V,		2000,	1000
		Hatchback_02_Black,		V,		2000,	1000
		Sedan_02,				V,		2000,	1000
		Sedan_02_Red,			V,		2000,	1000
		Sedan_02_Grey,			V,		2000,	1000
		CivilianSedan,			V,		2000,	1000
		CivilianSedan_Wine,		V,		2000,	1000
		CivilianSedan_Black,	V,		2000,	1000
		ExpansionMh6,			V,		3000,	2000
		ExpansionGyrocopter,	VNK,	500,	450
	
	<Category> Vehicle Parts
		HeadlightH7_Box,		*,		30,		15
		SparkPlug,				*,		60,		40
		ExpansionIgniterPlug,	*,		80,		60
		EngineOil,				*,		70,		40
		CarBattery,				*,		100,	50
		TruckBattery,			*,		180,	100
		ExpansionHelicopterBattery,*,	180,	120	
		CarRadiator,			*,		200,	100
		TireRepairKit,			*,		120,	100
		ExpansionHydraulicHoses,*,		50,		30
		HatchbackHood,						*,		200,	100
		HatchbackHood_Blue,					*,		200,	100
		HatchbackHood_White,				*,		200,	100
		HatchbackHood_GreenRust,			*,		200,	100
		HatchbackHood_BlueRust,				*,		200,	100
		HatchbackHood_WhiteRust,			*,		200,	100
		HatchbackTrunk,						*,		180,	130
		HatchbackTrunk_Blue,				*,		180,	130
		HatchbackTrunk_White,				*,		180,	130
		HatchbackTrunk_GreenRust,			*,		180,	130
		HatchbackTrunk_BlueRust,			*,		180,	130
		HatchbackTrunk_WhiteRust,			*,		180,	130
		HatchbackDoors_Driver,				*,		150,	100
		HatchbackDoors_Driver_Blue,			*,		150,	100
		HatchbackDoors_Driver_White,		*,		150,	100
		HatchbackDoors_Driver_GreenRust,	*,		150,	100
		HatchbackDoors_Driver_BlueRust,		*,		150,	100
		HatchbackDoors_Driver_WhiteRust,	*,		150,	100
		HatchbackDoors_CoDriver,			*,		150,	100
		HatchbackDoors_CoDriver_Blue,		*,		150,	100
		HatchbackDoors_CoDriver_White,		*,		150,	100
		HatchbackDoors_CoDriver_GreenRust,	*,		150,	100
		HatchbackDoors_CoDriver_BlueRust,	*,		150,	100
		HatchbackDoors_CoDriver_WhiteRust,	*,		150,	100
		HatchbackWheel,						*,		80,		50
		Hatchback_02_Hood,				*,		200,	100
		Hatchback_02_Hood_Black,		*,		200,	100
		Hatchback_02_Hood_Blue,			*,		200,	100
		Hatchback_02_Hood_RedRust,		*,		200,	100
		Hatchback_02_Hood_BlackRust,	*,		200,	100
		Hatchback_02_Hood_BlueRust,		*,		200,	100
		Hatchback_02_Trunk,				*,		180,	100
		Hatchback_02_Trunk_Black,		*,		180,	100
		Hatchback_02_Trunk_Blue,		*,		180,	100
		Hatchback_02_Trunk_RedRust,		*,		180,	100
		Hatchback_02_Trunk_BlackRust,	*,		180,	100
		Hatchback_02_Trunk_BlueRust,	*,		180,	100
		Hatchback_02_Door_1_1,			*,		150,	100
		Hatchback_02_Door_1_1_Black,	*,		150,	100
		Hatchback_02_Door_1_1_Blue,		*,		150,	100
		Hatchback_02_Door_1_1_RedRust,	*,		150,	100
		Hatchback_02_Door_1_1_BlackRust,*,		150,	100
		Hatchback_02_Door_1_1_BlueRust,	*,		150,	100
		Hatchback_02_Door_1_2,			*,		150,	100
		Hatchback_02_Door_1_2_Black,	*,		150,	100
		Hatchback_02_Door_1_2_Blue,		*,		150,	100
		Hatchback_02_Door_1_2_RedRust,	*,		150,	100
		Hatchback_02_Door_1_2_BlackRust,*,		150,	100
		Hatchback_02_Door_1_2_BlueRust,	*,		150,	100
		Hatchback_02_Door_2_1,			*,		150,	100
		Hatchback_02_Door_2_1_Black,	*,		150,	100
		Hatchback_02_Door_2_1_Blue,		*,		150,	100
		Hatchback_02_Door_2_1_RedRust,	*,		150,	100
		Hatchback_02_Door_2_1_BlackRust,*,		150,	100
		Hatchback_02_Door_2_1_BlueRust,	*,		150,	100
		Hatchback_02_Door_2_2,			*,		150,	100
		Hatchback_02_Door_2_2_Black,	*,		150,	100
		Hatchback_02_Door_2_2_Blue,		*,		150,	100
		Hatchback_02_Door_2_2_RedRust,	*,		150,	100
		Hatchback_02_Door_2_2_BlackRust,*,		150,	100
		Hatchback_02_Door_2_2_BlueRust,	*,		150,	100
		Hatchback_02_Wheel,				*,		200,	100
		Sedan_02_Hood,					*,		200,	100
		Sedan_02_Hood_Red,				*,		200,	100
		Sedan_02_Hood_Grey,				*,		200,	100
		Sedan_02_Hood_YellowRust,		*,		200,	100
		Sedan_02_Hood_RedRust,			*,		200,	100
		Sedan_02_Hood_GreyRust,			*,		200,	100
		Sedan_02_Trunk,					*,		150,	100
		Sedan_02_Trunk_Red,				*,		150,	100
		Sedan_02_Trunk_Grey,			*,		150,	100
		Sedan_02_Trunk_YellowRust,		*,		150,	100
		Sedan_02_Trunk_RedRust,			*,		150,	100
		Sedan_02_Trunk_GreyRust,		*,		150,	100
		Sedan_02_Door_1_1,				*,		150,	100
		Sedan_02_Door_1_1_Red,			*,		150,	100
		Sedan_02_Door_1_1_Grey,			*,		150,	100
		Sedan_02_Door_1_1_YellowRust,	*,		150,	100
		Sedan_02_Door_1_1_RedRust,		*,		150,	100
		Sedan_02_Door_1_1_GreyRust,		*,		150,	100
		Sedan_02_Door_1_2,				*,		150,	100
		Sedan_02_Door_1_2_Red,			*,		150,	100
		Sedan_02_Door_1_2_Grey,			*,		150,	100
		Sedan_02_Door_1_2_YellowRust,	*,		150,	100
		Sedan_02_Door_1_2_RedRust,		*,		150,	100
		Sedan_02_Door_1_2_GreyRust,		*,		150,	100
		Sedan_02_Door_2_1,				*,		150,	100
		Sedan_02_Door_2_1_Red,			*,		150,	100
		Sedan_02_Door_2_1_Grey,			*,		150,	100
		Sedan_02_Door_2_1_YellowRust,	*,		150,	100
		Sedan_02_Door_2_1_RedRust,		*,		150,	100
		Sedan_02_Door_2_1_GreyRust,		*,		150,	100
		Sedan_02_Door_2_2,				*,		150,	100  
		Sedan_02_Door_2_2_Red,			*,		150,	100  
		Sedan_02_Door_2_2_Grey,			*,		150,	100  
		Sedan_02_Door_2_2_YellowRust,	*,		150,	100  
		Sedan_02_Door_2_2_RedRust,		*,		150,	100  
		Sedan_02_Door_2_2_GreyRust,		*,		150,	100  
		Sedan_02_Wheel,					*,		80,		50
		CivSedanHood,						*,		200,	140
		CivSedanHood_Wine,					*,		200,	140
		CivSedanHood_Black,					*,		200,	140
		CivSedanHood_WhiteRust,				*,		200,	140
		CivSedanHood_WineRust,				*,		200,	140
		CivSedanHood_BlackRust,				*,		200,	140
		CivSedanTrunk,						*,		250,	150
		CivSedanTrunk_Wine,					*,		250,	150
		CivSedanTrunk_Black,				*,		250,	150
		CivSedanTrunk_WhiteRust,			*,		250,	150
		CivSedanTrunk_WineRust,				*,		250,	150
		CivSedanTrunk_BlackRust,			*,		250,	150
		CivSedanDoors_Driver,				*,		200,	180
		CivSedanDoors_Driver_Wine,			*,		200,	180
		CivSedanDoors_Driver_Black,			*,		200,	180
		CivSedanDoors_Driver_WhiteRust,		*,		200,	180
		CivSedanDoors_Driver_WineRust,		*,		200,	180
		CivSedanDoors_Driver_BlackRust,		*,		200,	180
		CivSedanDoors_CoDriver,				*,		200,	180
		CivSedanDoors_CoDriver_Wine,		*,		200,	180
		CivSedanDoors_CoDriver_Black,		*,		200,	180
		CivSedanDoors_CoDriver_WhiteRust,	*,		200,	180
		CivSedanDoors_CoDriver_WineRust,	*,		200,	180
		CivSedanDoors_CoDriver_BlackRust,	*,		200,	180
		CivSedanDoors_BackLeft,				*,		200,	180
		CivSedanDoors_BackLeft_Wine,		*,		200,	180
		CivSedanDoors_BackLeft_Black,		*,		200,	180
		CivSedanDoors_BackLeft_WhiteRust,	*,		200,	180
		CivSedanDoors_BackLeft_WineRust,	*,		200,	180
		CivSedanDoors_BackLeft_BlackRust,	*,		200,	180
		CivSedanDoors_BackRight,			*,		200,	180
		CivSedanDoors_BackRight_Wine,		*,		200,	180
		CivSedanDoors_BackRight_Black,		*,		200,	180
		CivSedanDoors_BackRight_WhiteRust,	*,		200,	180
		CivSedanDoors_BackRight_WineRust,	*,		200,	180
		CivSedanDoors_BackRight_BlackRust,	*,		200,	180
		CivSedanWheel,						*,		80,		50
		Truck_01_Wheel,						*,		100,	80
		
		
	<Category> Keys
		VehicleKeyDuplicate,	K,		200,	-1 		// The choosen Classname here only gets displayed in the UI (Name/Description); Make Sure SellValue is set to -1
		
		
//<OpenFile> FileName.txt								// Links to another File; Must be right above <FileEnd>!
<FileEnd>												// This has to be on the End of this File and is very importand!
